date,SJC_GOLD_VND,EXRATE_VNDPUSD,GOLD_W_USD,CPI,IR,lGOLD_SJC,lEXRATE,lGOLD_W,lCPI,dlGOLD_SJC,dlEXRATE,dlGOLD_W,dlCPI,dIR,D_covid,D_sbv24
2019-01-01,37200000.0,23197.695652173912,1319.699951171875,110.93561194631623,6.0,17.431819319243374,10.051808227383981,7.185159680023371,4.708949960449449,0.0,-0.0037012100903321965,0.031873292651691365,0.0022978783727918284,0.0,0,0
2019-02-01,37900000.0,23202.25,1312.800048828125,111.19082159785209,6.0,17.450461670052654,10.052004535710498,7.17991757696976,4.711247838822242,0.018642350809280117,0.00019630832651706953,-0.005242103053610947,0.0022978783727927166,0.0,0,0
2019-03-01,37800000.0,23200.14285714286,1293.0,111.44661836442789,6.0,17.447819660589815,10.051913715270912,7.164720378771857,4.713545717195034,-0.002642009462839212,-9.082043958663633e-05,-0.015197198197902217,0.0022978783727918284,0.0,0,0
2019-04-01,37400000.0,23213.909090909092,1282.800048828125,111.70300359671381,6.0,17.43718126238476,10.052506907788786,7.156800505882708,4.715843595567827,-0.010638398205053079,0.0005931925178739306,-0.007919872889149637,0.0022978783727927166,0.0,0,0
2019-05-01,39000000.0,23351.260869565216,1305.800048828125,111.9599786484873,6.0,17.47907220409392,10.05840626033575,7.174571196145797,4.7181414739406184,0.04189094170915908,0.005899352546963499,0.017770690263088973,0.0022978783727918284,0.0,0,0
2019-06-01,39600000.0,23335.55,1409.699951171875,112.21754487664018,6.0,17.49433967622471,10.057733227851172,7.251132160139633,4.720439352313411,0.015267472130787496,-0.0006730324845776181,0.0765609639938365,0.0022978783727927166,0.0,0,0
2019-07-01,40400000.0,23217.652173913044,1426.0999755859375,112.47570364118585,6.0,17.51434034293138,10.052668137905115,7.262698707623261,4.722737230686204,0.020000666706671666,-0.005065089946056034,0.01156654748362751,0.0022978783727927166,0.0,0,0
2019-08-01,43900000.0,23208.18181818182,1519.0999755859375,112.73445630526643,6.0,17.5974248780454,10.052260160059669,7.325873317142218,4.725035109058996,0.08308453511401837,-0.0004079778454464389,0.06317460951895715,0.0022978783727918284,0.0,0,0
2019-09-01,42600000.0,23202.52380952381,1515.25,112.99380423516,6.0,17.5673648112396,10.052016336631022,7.323335720831395,4.727332987431788,-0.03006006680579887,-0.0002438234286472607,-0.002537596310823176,0.0022978783727927166,0.0,0,0
2019-10-01,42800000.0,23202.434782608696,1511.4000244140625,113.25374880028777,6.0,17.572048660552024,10.052012499674031,7.320791668739896,4.72963086580458,0.004683849312424826,-3.836956990355134e-06,-0.00254405209149855,0.0022978783727918284,0.0,0,0
2019-11-01,43100000.0,23197.809523809523,1465.5999755859375,113.51429137322133,6.0,17.579033555073977,10.051813136119653,7.290019977261799,4.731928744177373,0.0069848945219526115,-0.0001993635543779959,-0.03077169147809755,0.0022978783727927166,0.0,0,0
2019-12-01,43900000.0,23172.31818181818,1524.25,113.77543332968992,6.0,17.5974248780454,10.050713663428049,7.329257764787926,4.734226622550166,0.01839132297142143,-0.0010994726916049302,0.039237787526126944,0.0022978783727927166,0.0,0,0
